name,image,parentsName,level
TPCN Chăm sóc sức khỏe nam và nữ,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.08_6.08-TPCN_Ch%C4%83m_s%C3%B3c_s%E1%BB%A9c_kh%E1%BB%8Fe_nam_v%C3%A0_n%E1%BB%AF_6.08-VMS_Mens__Womens_Health_TPCN_Cham.jpg,thuc-pham-chuc-nang,2
TPCN hỗ trợ sinh lý nam,,tpcn-cham-soc-suc-khoe-nam-va-nu,3
TPCN hỗ trợ sinh lý nữ,,tpcn-cham-soc-suc-khoe-nam-va-nu,3
TPCN Nhóm Mắt/Tai/Mũi,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.09_6.09-TPCN_Nh%C3%B3m_M%E1%BA%AFtTaiM%C5%A9i_6.09-VMS_For_EyeEarNose_TPCN_Nhom_MatTaiMui_-_Copy.png,thuc-pham-chuc-nang,2
TPCN cho mắt,,tpcn-nhom-mat/tai/mui,3
TPCN cho tai,,tpcn-nhom-mat/tai/mui,3
TPCN cho mũi,,tpcn-nhom-mat/tai/mui,3
TPCN Vitamin tổng hợp và khoáng chất,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.10_6.10-TPCN_Vitamin_t%E1%BB%95ng_h%E1%BB%A3p_v%C3%A0_kho%C3%A1ng_ch%E1%BA%A5t_6.10-VMS_General_Vitamins__Mineral.png,thuc-pham-chuc-nang,2
Vitamin tổng hợp,,tpcn-vitamin-tong-hop-va-khoang-chat,3
Vitamin C,,tpcn-vitamin-tong-hop-va-khoang-chat,3
Vitamin A/B/D,,tpcn-vitamin-tong-hop-va-khoang-chat,3
TPCN khác,,tpcn-vitamin-tong-hop-va-khoang-chat,3
TPCN cung cấp sắt,,tpcn-vitamin-tong-hop-va-khoang-chat,3
TPCN nhóm Omega,,tpcn-vitamin-tong-hop-va-khoang-chat,3
